temperature_K,thermal_conductivity_W_per_cmK,thermal_conductivity_W_per_mK,value_basis,source_segment,suggested_total_relative_uncertainty_pct,independent_measurement,interpolation_method,source_figure
100,0.174,17.4,digitized_marker,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
101,0.174099,17.4099,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
102,0.174185,17.4185,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
103,0.174261,17.4261,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
104,0.174328,17.4328,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
105,0.174389,17.4389,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
106,0.174445,17.4445,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
107,0.174499,17.4499,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
108,0.174551,17.4551,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
109,0.174604,17.4604,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
110,0.174659,17.4659,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
111,0.174717,17.4717,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
112,0.17478,17.478,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
113,0.174849,17.4849,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
114,0.174925,17.4925,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
115,0.175009,17.5009,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
116,0.175103,17.5103,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
117,0.175207,17.5207,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
118,0.175319,17.5319,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
119,0.175439,17.5439,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
120,0.175566,17.5566,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
121,0.175698,17.5698,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
122,0.175836,17.5836,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
123,0.175978,17.5978,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
124,0.176124,17.6124,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
125,0.176272,17.6272,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
126,0.176422,17.6422,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
127,0.176574,17.6574,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
128,0.176726,17.6726,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
129,0.176878,17.6878,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
130,0.17703,17.703,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
131,0.177182,17.7182,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
132,0.177334,17.7334,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
133,0.177487,17.7487,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
134,0.177642,17.7642,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
135,0.1778,17.78,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
136,0.17796,17.796,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
137,0.178125,17.8125,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
138,0.178293,17.8293,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
139,0.178467,17.8467,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
140,0.178646,17.8646,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
141,0.178831,17.8831,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
